125.228.236.138:443#地区随机 | 台湾 TW | TPE | 125.228.236.138:443_1 [优选高速] [125ms 15Mbps]
129.212.232.171:443#地区随机 | 新加坡 SG | SIN | 129.212.232.171:443_1 [优选高速] [343ms 2Mbps]
129.212.233.197:2053#地区随机 | 新加坡 SG | SIN | 129.212.233.197:2053_1 [优选高速] [328ms 3Mbps]
134.209.101.154:443#地区随机 | 新加坡 SG | SIN | 134.209.101.154:443_1 [优选高速] [312ms 3Mbps]
143.198.85.69:443#地区随机 | 新加坡 SG | SIN | 143.198.85.69:443_1 [优选高速] [328ms 2Mbps]
146.190.100.44:443#地区随机 | 新加坡 SG | SIN | 146.190.100.44:443_1 [优选高速] [328ms 2Mbps]
149.28.129.157:2053#地区随机 | 新加坡 SG | SIN | 149.28.129.157:2053_1 [优选高速] [156ms 10Mbps]
152.42.169.132:443#地区随机 | 新加坡 SG | SIN | 152.42.169.132:443_1 [优选高速] [343ms 2Mbps]
152.42.174.66:443#地区随机 | 新加坡 SG | SIN | 152.42.174.66:443_1 [优选高速] [328ms 2Mbps]
152.42.175.157:443#地区随机 | 新加坡 SG | SIN | 152.42.175.157:443_1 [优选高速] [343ms 3Mbps]
152.42.232.41:443#地区随机 | 新加坡 SG | SIN | 152.42.232.41:443_1 [优选高速] [375ms 5Mbps]
152.42.247.235:443#地区随机 | 新加坡 SG | SIN | 152.42.247.235:443_1 [优选高速] [343ms 2Mbps]
157.230.32.24:443#地区随机 | 新加坡 SG | SIN | 157.230.32.24:443_1 [优选高速] [406ms 2Mbps]
157.230.44.151:443#地区随机 | 新加坡 SG | SIN | 157.230.44.151:443_1 [优选高速] [391ms 3Mbps]
157.245.200.76:443#地区随机 | 新加坡 SG | SIN | 157.245.200.76:443_1 [优选高速] [406ms 2Mbps]
159.223.78.76:443#地区随机 | 新加坡 SG | SIN | 159.223.78.76:443_1 [优选高速] [422ms 2Mbps]
159.223.79.119:443#地区随机 | 新加坡 SG | SIN | 159.223.79.119:443_1 [优选高速] [422ms 2Mbps]
159.65.15.18:443#地区随机 | 新加坡 SG | SIN | 159.65.15.18:443_1 [优选高速] [391ms 2Mbps]
167.172.86.195:443#地区随机 | 新加坡 SG | SIN | 167.172.86.195:443_1 [优选高速] [391ms 3Mbps]
167.172.90.175:443#地区随机 | 新加坡 SG | SIN | 167.172.90.175:443_1 [优选高速] [422ms 2Mbps]
167.71.222.177:443#地区随机 | 新加坡 SG | SIN | 167.71.222.177:443_1 [优选高速] [422ms 2Mbps]
167.99.71.38:443#地区随机 | 新加坡 SG | SIN | 167.99.71.38:443_1 [优选高速] [406ms 2Mbps]
167.99.77.145:443#地区随机 | 新加坡 SG | SIN | 167.99.77.145:443_1 [优选高速] [406ms 3Mbps]
168.138.189.91:443#地区随机 | 新加坡 SG | SIN | 168.138.189.91:443_1 [优选高速] [203ms 3Mbps]
174.138.17.183:443#地区随机 | 新加坡 SG | SIN | 174.138.17.183:443_1 [优选高速] [406ms 2Mbps]
178.128.58.101:443#地区随机 | 新加坡 SG | SIN | 178.128.58.101:443_1 [优选高速] [406ms 2Mbps]
178.128.90.108:443#地区随机 | 新加坡 SG | SIN | 178.128.90.108:443_1 [优选高速] [359ms 3Mbps]
178.128.97.53:443#地区随机 | 新加坡 SG | SIN | 178.128.97.53:443_1 [优选高速] [422ms 2Mbps]
185.225.20.99:8443#地区随机 | 新加坡 SG | SIN | 185.225.20.99:8443_1 [优选高速] [234ms 7Mbps]
188.166.214.16:443#地区随机 | 新加坡 SG | SIN | 188.166.214.16:443_1 [优选高速] [375ms 4Mbps]
188.166.217.179:443#地区随机 | 新加坡 SG | SIN | 188.166.217.179:443_1 [优选高速] [359ms 3Mbps]
206.189.157.20:443#地区随机 | 新加坡 SG | SIN | 206.189.157.20:443_1 [优选高速] [359ms 3Mbps]
206.189.82.100:443#地区随机 | 新加坡 SG | SIN | 206.189.82.100:443_1 [优选高速] [375ms 2Mbps]
206.189.95.233:443#地区随机 | 新加坡 SG | SIN | 206.189.95.233:443_1 [优选高速] [390ms 2Mbps]
207.148.119.176:8443#地区随机 | 新加坡 SG | SIN | 207.148.119.176:8443_1 [优选高速] [187ms 9Mbps]
5.223.51.84:443#地区随机 | 新加坡 SG | SIN | 5.223.51.84:443_1 [优选高速] [297ms 6Mbps]
5.223.56.239:8443#地区随机 | 新加坡 SG | SIN | 5.223.56.239:8443_1 [优选高速] [281ms 6Mbps]
5.223.59.9:443#地区随机 | 新加坡 SG | SIN | 5.223.59.9:443_1 [优选高速] [297ms 2Mbps]
5.223.60.212:443#地区随机 | 新加坡 SG | SIN | 5.223.60.212:443_1 [优选高速] [343ms 3Mbps]
140.83.50.165:443#地区随机 | 日本 JP | KIX | 140.83.50.165:443_1 [优选高速] [250ms 4Mbps]
161.33.14.183:8443#地区随机 | 日本 JP | KIX | 161.33.14.183:8443_1 [优选高速] [1250ms 3Mbps]
172.235.201.100:443#地区随机 | 日本 JP | KIX | 172.235.201.100:443_1 [优选高速] [297ms 3Mbps]
192.243.123.44:443#地区随机 | 日本 JP | KIX | 192.243.123.44:443_1 [优选高速] [187ms 7Mbps]
64.110.104.30:443#地区随机 | 日本 JP | KIX | 64.110.104.30:443_1 [优选高速] [328ms 2Mbps]
103.201.130.51:443#地区随机 | 日本 JP | NRT | 103.201.130.51:443_1 [优选高速] [125ms 5Mbps]
103.201.131.83:443#地区随机 | 日本 JP | NRT | 103.201.131.83:443_1 [优选高速] [125ms 7Mbps]
115.163.106.137:443#地区随机 | 日本 JP | NRT | 115.163.106.137:443_1 [优选高速] [172ms 7Mbps]
124.156.208.160:443#地区随机 | 日本 JP | NRT | 124.156.208.160:443_1 [优选高速] [125ms 7Mbps]
138.2.5.136:443#地区随机 | 日本 JP | NRT | 138.2.5.136:443_1 [优选高速] [218ms 2Mbps]
138.3.212.160:8443#地区随机 | 日本 JP | NRT | 138.3.212.160:8443_1 [优选高速] [218ms 3Mbps]
140.235.37.198:443#地区随机 | 日本 JP | NRT | 140.235.37.198:443_1 [优选高速] [172ms 3Mbps]
149.62.44.249:443#地区随机 | 日本 JP | NRT | 149.62.44.249:443_1 [优选高速] [172ms 2Mbps]
150.230.107.25:8443#地区随机 | 日本 JP | NRT | 150.230.107.25:8443_1 [优选高速] [234ms 5Mbps]
150.230.212.247:443#地区随机 | 日本 JP | NRT | 150.230.212.247:443_1 [优选高速] [234ms 3Mbps]
152.70.105.42:8443#地区随机 | 日本 JP | NRT | 152.70.105.42:8443_1 [优选高速] [234ms 5Mbps]
154.19.187.39:443#地区随机 | 日本 JP | NRT | 154.19.187.39:443_1 [优选高速] [187ms 3Mbps]
154.83.92.214:443#地区随机 | 日本 JP | NRT | 154.83.92.214:443_1 [优选高速] [235ms 3Mbps]
155.248.181.189:443#地区随机 | 日本 JP | NRT | 155.248.181.189:443_1 [优选高速] [281ms 4Mbps]
160.16.62.84:443#地区随机 | 日本 JP | NRT | 160.16.62.84:443_1 [优选高速] [219ms 3Mbps]
161.33.190.243:443#地区随机 | 日本 JP | NRT | 161.33.190.243:443_1 [优选高速] [1235ms 4Mbps]
172.237.13.221:443#地区随机 | 日本 JP | NRT | 172.237.13.221:443_1 [优选高速] [343ms 3Mbps]
172.237.5.208:2053#地区随机 | 日本 JP | NRT | 172.237.5.208:2053_1 [优选高速] [328ms 6Mbps]
185.200.64.238:2053#地区随机 | 日本 JP | NRT | 185.200.64.238:2053_1 [优选高速] [203ms 7Mbps]
185.200.64.56:443#地区随机 | 日本 JP | NRT | 185.200.64.56:443_1 [优选高速] [187ms 6Mbps]
188.253.118.174:443#地区随机 | 日本 JP | NRT | 188.253.118.174:443_1 [优选高速] [203ms 5Mbps]
