223.165.4.57:443#地区随机 | 台湾 TW | HKG | 223.165.4.57:443_1 [219ms 0Mbps]
103.115.108.45:443#地区随机 | 台湾 TW | TPE | 103.115.108.45:443_1 [78ms 0Mbps]
151.242.189.137:443#地区随机 | 台湾 TW | TPE | 151.242.189.137:443_1 [优选高速] [110ms 9Mbps]
165.154.243.141:443#地区随机 | 台湾 TW | TPE | 165.154.243.141:443_1 [优选高速] [94ms 8Mbps]
104.248.159.171:443#地区随机 | 新加坡 SG | SIN | 104.248.159.171:443_1 [优选高速] [110ms 4Mbps]
109.121.39.70:443#地区随机 | 新加坡 SG | SIN | 109.121.39.70:443_1 [优选高速] [110ms 8Mbps]
116.251.216.12:8443#地区随机 | 新加坡 SG | SIN | 116.251.216.12:8443_1 [78ms 0Mbps]
116.251.216.23:8443#地区随机 | 新加坡 SG | SIN | 116.251.216.23:8443_1 [94ms 0Mbps]
116.251.217.107:443#地区随机 | 新加坡 SG | SIN | 116.251.217.107:443_1 [110ms 0Mbps]
116.251.217.65:443#地区随机 | 新加坡 SG | SIN | 116.251.217.65:443_1 [78ms 0Mbps]
124.156.202.172:443#地区随机 | 新加坡 SG | SIN | 124.156.202.172:443_1 [141ms 0Mbps]
128.199.119.5:443#地区随机 | 新加坡 SG | SIN | 128.199.119.5:443_1 [94ms 4Mbps]
128.199.128.117:443#地区随机 | 新加坡 SG | SIN | 128.199.128.117:443_1 [94ms 2Mbps]
128.199.255.242:443#地区随机 | 新加坡 SG | SIN | 128.199.255.242:443_1 [优选高速] [94ms 4Mbps]
128.199.82.20:443#地区随机 | 新加坡 SG | SIN | 128.199.82.20:443_1 [94ms 4Mbps]
129.150.48.17:443#地区随机 | 新加坡 SG | SIN | 129.150.48.17:443_1 [94ms 4Mbps]
129.212.225.217:443#地区随机 | 新加坡 SG | SIN | 129.212.225.217:443_1 [110ms 2Mbps]
129.212.229.240:443#地区随机 | 新加坡 SG | SIN | 129.212.229.240:443_1 [优选高速] [94ms 5Mbps]
129.212.231.216:443#地区随机 | 新加坡 SG | SIN | 129.212.231.216:443_1 [94ms 1Mbps]
129.212.232.171:443#地区随机 | 新加坡 SG | SIN | 129.212.232.171:443_1 [110ms 2Mbps]
129.212.233.197:2053#地区随机 | 新加坡 SG | SIN | 129.212.233.197:2053_1 [94ms 3Mbps]
129.212.239.178:443#地区随机 | 新加坡 SG | SIN | 129.212.239.178:443_1 [94ms 1Mbps]
129.212.239.183:443#地区随机 | 新加坡 SG | SIN | 129.212.239.183:443_1 [94ms 2Mbps]
129.226.150.167:443#地区随机 | 新加坡 SG | SIN | 129.226.150.167:443_1 [78ms 0Mbps]
134.185.93.231:443#地区随机 | 新加坡 SG | SIN | 134.185.93.231:443_1 [优选高速] [94ms 6Mbps]
134.209.101.154:443#地区随机 | 新加坡 SG | SIN | 134.209.101.154:443_1 [94ms 1Mbps]
134.209.102.229:443#地区随机 | 新加坡 SG | SIN | 134.209.102.229:443_1 [110ms 2Mbps]
134.209.103.4:443#地区随机 | 新加坡 SG | SIN | 134.209.103.4:443_1 [94ms 1Mbps]
134.209.106.237:443#地区随机 | 新加坡 SG | SIN | 134.209.106.237:443_1 [优选高速] [110ms 5Mbps]
134.209.98.39:443#地区随机 | 新加坡 SG | SIN | 134.209.98.39:443_1 [94ms 1Mbps]
138.2.64.229:443#地区随机 | 新加坡 SG | SIN | 138.2.64.229:443_1 [1094ms 0Mbps]
139.162.23.48:443#地区随机 | 新加坡 SG | SIN | 139.162.23.48:443_1 [110ms 1Mbps]
139.180.143.248:8443#地区随机 | 新加坡 SG | SIN | 139.180.143.248:8443_1 [250ms 0Mbps]
139.180.220.7:443#地区随机 | 新加坡 SG | SIN | 139.180.220.7:443_1 [219ms 0Mbps]
